Gene stable ID	Gene name	Human gene stable ID	Human gene name	Human homology type
ENSSSCG00000014184	PAM	ENSG00000145730	PAM	ortholog_one2one
ENSSSCG00000014225	DTWD2	ENSG00000169570	DTWD2	ortholog_one2one
ENSSSCG00000006184	TERF1	ENSG00000147601	TERF1	ortholog_one2one
ENSSSCG00000006185	KCNB2	ENSG00000182674	KCNB2	ortholog_one2one
ENSSSCG00000028759	ASAP1	ENSG00000153317	ASAP1	ortholog_one2one
ENSSSCG00000049689				
ENSSSCG00000006186	TRPA1	ENSG00000104321	TRPA1	ortholog_one2one
ENSSSCG00000027857	DMXL1	ENSG00000172869	DMXL1	ortholog_one2one
ENSSSCG00000006187	MSC	ENSG00000178860	MSC	ortholog_one2one
ENSSSCG00000040728	EYA1	ENSG00000104313	EYA1	ortholog_one2one
ENSSSCG00000005959		ENSG00000153310	CYRIB	ortholog_one2one
ENSSSCG00000025287	GIN1	ENSG00000145723	GIN1	ortholog_one2one
ENSSSCG00000006191	XKR9	ENSG00000221947	XKR9	ortholog_one2one
ENSSSCG00000040617	TNFAIP8	ENSG00000145779	TNFAIP8	ortholog_one2one
ENSSSCG00000006192	LACTB2	ENSG00000147592	LACTB2	ortholog_one2one
ENSSSCG00000005965	MYC	ENSG00000136997	MYC	ortholog_one2one
ENSSSCG00000024999	PPIP5K2	ENSG00000145725	PPIP5K2	ortholog_one2one
ENSSSCG00000006193	TRAM1	ENSG00000067167	TRAM1	ortholog_one2one
ENSSSCG00000028431	HSD17B4	ENSG00000133835	HSD17B4	ortholog_one2one
ENSSSCG00000006194	NCOA2	ENSG00000140396	NCOA2	ortholog_one2one
ENSSSCG00000006195	PRDM14	ENSG00000147596	PRDM14	ortholog_one2one
ENSSSCG00000005967	LRATD2	ENSG00000168672	LRATD2	ortholog_one2one
ENSSSCG00000006196	SLCO5A1	ENSG00000137571	SLCO5A1	ortholog_one2one
ENSSSCG00000052155				
ENSSSCG00000006138	ATP6V0D2	ENSG00000147614	ATP6V0D2	ortholog_one2one
ENSSSCG00000013341	LUZP2	ENSG00000187398	LUZP2	ortholog_one2one
ENSSSCG00000022935	SLC7A13	ENSG00000164893	SLC7A13	ortholog_one2one
ENSSSCG00000006003	MAL2	ENSG00000147676	MAL2	ortholog_one2one
ENSSSCG00000006197	SULF1	ENSG00000137573	SULF1	ortholog_one2one
ENSSSCG00000038779	MACIR	ENSG00000181751	MACIR	ortholog_one2one
ENSSSCG00000036008	TACR1	ENSG00000115353	TACR1	ortholog_one2one
ENSSSCG00000038307	POLE4	ENSG00000115350	POLE4	ortholog_one2one
ENSSSCG00000029324	COLEC10	ENSG00000184374	COLEC10	ortholog_one2one
ENSSSCG00000006199	PREX2	ENSG00000046889	PREX2	ortholog_one2one
ENSSSCG00000006141	CA3	ENSG00000164879	CA3	ortholog_one2one
ENSSSCG00000008261	HK2	ENSG00000159399	HK2	ortholog_one2one
ENSSSCG00000039660	LRRC69	ENSG00000214954	LRRC69	ortholog_one2one
ENSSSCG00000014186				
ENSSSCG00000027762	TNFRSF11B	ENSG00000164761	TNFRSF11B	ortholog_one2one
ENSSSCG00000006200	CPA6	ENSG00000165078	CPA6	ortholog_one2one
ENSSSCG00000006120	OTUD6B	ENSG00000155100	OTUD6B	ortholog_one2one
ENSSSCG00000057079				
ENSSSCG00000006153		ENSG00000164687	FABP5	ortholog_one2one
ENSSSCG00000014187	NUDT12	ENSG00000112874	NUDT12	ortholog_one2one
ENSSSCG00000022842		ENSG00000148303	RPL7A	ortholog_one2one
ENSSSCG00000005992	HAS2	ENSG00000170961	HAS2	ortholog_one2one
ENSSSCG00000006201	ARFGEF1	ENSG00000066777	ARFGEF1	ortholog_one2one
ENSSSCG00000056535		ENSG00000172023	REG1B	ortholog_many2many
ENSSSCG00000046515				
ENSSSCG00000005994	SNTB1	ENSG00000172164	SNTB1	ortholog_one2one
ENSSSCG00000014228	FAM170A	ENSG00000164334	FAM170A	ortholog_one2one
ENSSSCG00000008309	SPR	ENSG00000116096	SPR	ortholog_one2one
ENSSSCG00000052759				
ENSSSCG00000039889	ARL14EP	ENSG00000152219	ARL14EP	ortholog_one2one
ENSSSCG00000014231	FTMT	ENSG00000181867	FTMT	ortholog_one2one
ENSSSCG00000036942				
ENSSSCG00000025286	MCTP1	ENSG00000175471	MCTP1	ortholog_one2one
ENSSSCG00000061074				
ENSSSCG00000013328	FSHB	ENSG00000131808	FSHB	ortholog_one2one
ENSSSCG00000042506				
ENSSSCG00000005995	MTBP	ENSG00000172167	MTBP	ortholog_one2one
ENSSSCG00000057038				
ENSSSCG00000063306				
ENSSSCG00000013330	KCNA4	ENSG00000182255	KCNA4	ortholog_one2one
ENSSSCG00000006168	PEX2	ENSG00000164751	PEX2	ortholog_one2one
ENSSSCG00000043774				
ENSSSCG00000006121	PIP4P2	ENSG00000155099	PIP4P2	ortholog_one2one
ENSSSCG00000055000				
ENSSSCG00000060147				
ENSSSCG00000013338	SLC5A12	ENSG00000148942	SLC5A12	ortholog_one2one
ENSSSCG00000053234				
ENSSSCG00000054860				
ENSSSCG00000052247				
ENSSSCG00000052453				
ENSSSCG00000060017				
ENSSSCG00000040562	C8orf88	ENSG00000253250	C8orf88	ortholog_one2one
ENSSSCG00000049027				
ENSSSCG00000045839				
ENSSSCG00000056105				
ENSSSCG00000051469				
ENSSSCG00000060881				
ENSSSCG00000059659				
ENSSSCG00000050135				
ENSSSCG00000006159	HEY1	ENSG00000164683	HEY1	ortholog_one2one
ENSSSCG00000008310	EXOC6B	ENSG00000144036	EXOC6B	ortholog_one2one
ENSSSCG00000031424	NECAB1	ENSG00000123119	NECAB1	ortholog_one2one
ENSSSCG00000057459				
ENSSSCG00000013339	ANO3	ENSG00000134343	ANO3	ortholog_one2one
ENSSSCG00000061841				
ENSSSCG00000052467				
ENSSSCG00000061563				
ENSSSCG00000005996	MRPL13	ENSG00000172172	MRPL13	ortholog_one2one
ENSSSCG00000054806				
ENSSSCG00000056103				
ENSSSCG00000058349				
ENSSSCG00000034242	HNF4G	ENSG00000164749	HNF4G	ortholog_one2one
ENSSSCG00000040180	TMEM64	ENSG00000180694	TMEM64	ortholog_one2one
ENSSSCG00000052309				
ENSSSCG00000057317				
ENSSSCG00000060072				
ENSSSCG00000054090				
ENSSSCG00000061541				
ENSSSCG00000055394				
ENSSSCG00000057868				
ENSSSCG00000053268				
ENSSSCG00000006125	CALB1	ENSG00000104327	CALB1	ortholog_one2one
ENSSSCG00000061751				
ENSSSCG00000058241				
ENSSSCG00000054043				
ENSSSCG00000042143				
ENSSSCG00000060327				
ENSSSCG00000040770	CA1	ENSG00000133742	CA1	ortholog_one2one
ENSSSCG00000013340	MUC15	ENSG00000169550	MUC15	ortholog_one2one
ENSSSCG00000055203				
ENSSSCG00000048602				
ENSSSCG00000061432				
ENSSSCG00000061188				
ENSSSCG00000033669	RDH10	ENSG00000121039	RDH10	ortholog_one2one
ENSSSCG00000053866				
ENSSSCG00000053601				
ENSSSCG00000005997	COL14A1	ENSG00000187955	COL14A1	ortholog_one2one
ENSSSCG00000039940	NELL1	ENSG00000165973	NELL1	ortholog_one2one
ENSSSCG00000054233				
ENSSSCG00000051829				
ENSSSCG00000062700				
ENSSSCG00000058705				
ENSSSCG00000044479				
ENSSSCG00000006126	DECR1	ENSG00000104325	DECR1	ortholog_one2one
ENSSSCG00000032111	RPL7	ENSG00000147604	RPL7	ortholog_one2one
ENSSSCG00000058379				
ENSSSCG00000054550				
ENSSSCG00000062271				
ENSSSCG00000052839				
ENSSSCG00000062182				
ENSSSCG00000061555				
ENSSSCG00000047106				
ENSSSCG00000045627				
ENSSSCG00000057328				
ENSSSCG00000042820				
ENSSSCG00000063119				
ENSSSCG00000008311	CYP26B1	ENSG00000003137	CYP26B1	ortholog_one2one
ENSSSCG00000006140	CA2	ENSG00000104267	CA2	ortholog_one2one
ENSSSCG00000054907				
ENSSSCG00000026175	FAM81B	ENSG00000153347	FAM81B	ortholog_one2one
ENSSSCG00000060012				
ENSSSCG00000063144				
ENSSSCG00000054489				
ENSSSCG00000032228	C8orf89	ENSG00000274443	C8orf89	ortholog_one2one
ENSSSCG00000059176				
ENSSSCG00000056422				
ENSSSCG00000062372				
ENSSSCG00000060439				
ENSSSCG00000056169				
ENSSSCG00000060758				
ENSSSCG00000052754				
ENSSSCG00000054424				
ENSSSCG00000014165		ENSG00000198677	SKIC3	ortholog_one2many
ENSSSCG00000058467				
ENSSSCG00000006127	NBN	ENSG00000104320	NBN	ortholog_one2one
ENSSSCG00000061446				
ENSSSCG00000058028				
ENSSSCG00000006202	CSPP1	ENSG00000104218	CSPP1	ortholog_one2one
ENSSSCG00000053610				
ENSSSCG00000037705	SLC6A5	ENSG00000165970	SLC6A5	ortholog_one2one
ENSSSCG00000047115				
ENSSSCG00000006156	TPD52	ENSG00000076554	TPD52	ortholog_one2one
ENSSSCG00000008262	SEMA4F	ENSG00000135622	SEMA4F	ortholog_one2one
ENSSSCG00000049705				
ENSSSCG00000054877				
ENSSSCG00000056425				
ENSSSCG00000014139	ARSK	ENSG00000164291	ARSK	ortholog_one2one
ENSSSCG00000058340				
ENSSSCG00000061959				
ENSSSCG00000050344				
ENSSSCG00000052109				
ENSSSCG00000013347	PRMT3	ENSG00000185238	PRMT3	ortholog_one2one
ENSSSCG00000041366				
ENSSSCG00000031156	U6	ENSG00000207090	RNU6-517P	ortholog_one2one
ENSSSCG00000021184	OSGIN2	ENSG00000164823	OSGIN2	ortholog_one2one
ENSSSCG00000042728	U6			
ENSSSCG00000014141	RFESD	ENSG00000175449	RFESD	ortholog_one2one
ENSSSCG00000018801	U1			
ENSSSCG00000020535	U6			
ENSSSCG00000024096	RIPK2	ENSG00000104312	RIPK2	ortholog_one2one
ENSSSCG00000020160				
ENSSSCG00000031177		ENSG00000172023	REG1B	ortholog_many2many
ENSSSCG00000049079	CCDC179	ENSG00000255359	CCDC179	ortholog_one2one
ENSSSCG00000006134	CNGB3	ENSG00000170289	CNGB3	ortholog_one2one
ENSSSCG00000063079	SVIP	ENSG00000198168	SVIP	ortholog_one2one
ENSSSCG00000031940	GAS2	ENSG00000148935	GAS2	ortholog_one2one
ENSSSCG00000030114	SPATA9	ENSG00000145757	SPATA9	ortholog_one2one
ENSSSCG00000008250	CTNNA2	ENSG00000066032	CTNNA2	ortholog_one2one
ENSSSCG00000049630	DEPTOR	ENSG00000155792	DEPTOR	ortholog_one2one
ENSSSCG00000029805	RHOBTB3	ENSG00000164292	RHOBTB3	ortholog_one2one
ENSSSCG00000013343	SLC17A6	ENSG00000091664	SLC17A6	ortholog_one2one
ENSSSCG00000049907		ENSG00000126233	SLURP1	ortholog_one2one
ENSSSCG00000031563				
ENSSSCG00000006135	CPNE3	ENSG00000085719	CPNE3	ortholog_one2one
ENSSSCG00000023859	LRRTM1	ENSG00000162951	LRRTM1	ortholog_one2one
ENSSSCG00000013344	ANO5	ENSG00000171714	ANO5	ortholog_one2one
ENSSSCG00000061603				
ENSSSCG00000039731		ENSG00000173221	GLRX	ortholog_one2many
ENSSSCG00000060510				
ENSSSCG00000008259	LRRTM4	ENSG00000176204	LRRTM4	ortholog_one2one
ENSSSCG00000047247	DSCC1	ENSG00000136982	DSCC1	ortholog_one2one
ENSSSCG00000031205				
ENSSSCG00000014168	ELL2	ENSG00000118985	ELL2	ortholog_one2one
ENSSSCG00000021287	GCFC2	ENSG00000005436	GCFC2	ortholog_one2one
ENSSSCG00000006001	ENPP2	ENSG00000136960	ENPP2	ortholog_one2one
ENSSSCG00000034820	MAFA	ENSG00000182759	MAFA	ortholog_one2one
ENSSSCG00000014169	PCSK1	ENSG00000175426	PCSK1	ortholog_one2one
ENSSSCG00000013349	HTATIP2	ENSG00000109854	HTATIP2	ortholog_one2one
ENSSSCG00000006160	STMN2	ENSG00000104435	STMN2	ortholog_one2one
ENSSSCG00000033726				
ENSSSCG00000006136	RMDN1	ENSG00000176623	RMDN1	ortholog_one2one
ENSSSCG00000021007	MRPL19	ENSG00000115364	MRPL19	ortholog_one2one
ENSSSCG00000052833	MRPS28	ENSG00000147586	MRPS28	ortholog_one2one
ENSSSCG00000032063	THEM6	ENSG00000130193	THEM6	ortholog_one2one
ENSSSCG00000048309				
ENSSSCG00000013350	DBX1	ENSG00000109851	DBX1	ortholog_one2one
ENSSSCG00000035372	PSCA	ENSG00000167653	PSCA	ortholog_one2one
ENSSSCG00000033594		ENSG00000160886	LY6K	ortholog_one2one
ENSSSCG00000006161	IL7	ENSG00000104432	IL7	ortholog_one2one
ENSSSCG00000040535	LY6E	ENSG00000160932	LY6E	ortholog_one2one
ENSSSCG00000006137	WWP1	ENSG00000123124	WWP1	ortholog_one2one
ENSSSCG00000013351	NAV2	ENSG00000166833	NAV2	ortholog_one2one
ENSSSCG00000014170	CAST	ENSG00000153113	CAST	ortholog_one2one
ENSSSCG00000046388				
ENSSSCG00000006956	ZC3H3	ENSG00000014164	ZC3H3	ortholog_one2one
ENSSSCG00000034943	GDF6	ENSG00000156466	GDF6	ortholog_one2one
ENSSSCG00000006002	CCN3	ENSG00000136999	CCN3	ortholog_one2one
ENSSSCG00000005928	MROH5	ENSG00000226807	MROH5	ortholog_one2one
ENSSSCG00000034398	CFAP418	ENSG00000156172	CFAP418	ortholog_one2one
ENSSSCG00000039549	PLEKHF2	ENSG00000175895	PLEKHF2	ortholog_one2one
ENSSSCG00000035958	EVA1A	ENSG00000115363	EVA1A	ortholog_one2one
ENSSSCG00000006093	NDUFAF6	ENSG00000156170	NDUFAF6	ortholog_one2one
ENSSSCG00000037755	NSMCE2	ENSG00000156831	NSMCE2	ortholog_one2one
ENSSSCG00000006151	SNX16	ENSG00000104497	SNX16	ortholog_one2one
ENSSSCG00000034321	TP53INP1	ENSG00000164938	TP53INP1	ortholog_one2one
ENSSSCG00000062275				
ENSSSCG00000036569	PTP4A3	ENSG00000184489	PTP4A3	ortholog_one2one
ENSSSCG00000006095	CCNE2	ENSG00000175305	CCNE2	ortholog_one2one
ENSSSCG00000008263				
ENSSSCG00000013352	E2F8	ENSG00000129173	E2F8	ortholog_one2one
ENSSSCG00000005969	WASHC5	ENSG00000164961	WASHC5	ortholog_one2one
ENSSSCG00000006955	GSDMD	ENSG00000104518	GSDMD	ortholog_one2one
ENSSSCG00000006096	INTS8	ENSG00000164941	INTS8	ortholog_one2one
ENSSSCG00000008265	DOK1	ENSG00000115325	DOK1	ortholog_one2one
ENSSSCG00000013354	CSRP3	ENSG00000129170	CSRP3	ortholog_one2one
ENSSSCG00000013331	METTL15	ENSG00000169519	METTL15	ortholog_one2one
ENSSSCG00000034689	GPIHBP1	ENSG00000277494	GPIHBP1	ortholog_one2one
ENSSSCG00000008266	LOXL3	ENSG00000115318	LOXL3	ortholog_one2one
ENSSSCG00000033353	LY6H	ENSG00000176956	LY6H	ortholog_one2one
ENSSSCG00000025980	CHMP4C	ENSG00000164695	CHMP4C	ortholog_one2one
ENSSSCG00000013332	KIF18A	ENSG00000121621	KIF18A	ortholog_one2one
ENSSSCG00000024780	ZFAND1	ENSG00000104231	ZFAND1	ortholog_one2one
ENSSSCG00000021284	GPR20	ENSG00000204882	GPR20	ortholog_one2one
ENSSSCG00000037524	LY6D	ENSG00000167656	LY6D	ortholog_one2one
ENSSSCG00000014171	ERAP1	ENSG00000164307	ERAP1	ortholog_one2one
ENSSSCG00000031724	LYNX1	ENSG00000180155	LYNX1	ortholog_one2one
ENSSSCG00000013333	BDNF	ENSG00000176697	BDNF	ortholog_one2one
ENSSSCG00000039882	HTRA2	ENSG00000115317	HTRA2	ortholog_one2one
ENSSSCG00000036119	LYPD2	ENSG00000197353	LYPD2	ortholog_one2one
ENSSSCG00000044629				
ENSSSCG00000006098	DPY19L4	ENSG00000156162	DPY19L4	ortholog_one2one
ENSSSCG00000008268	AUP1	ENSG00000115307	AUP1	ortholog_one2one
ENSSSCG00000005938	COL22A1	ENSG00000169436	COL22A1	ortholog_one2one
ENSSSCG00000022806	LIN7C	ENSG00000148943	LIN7C	ortholog_one2one
ENSSSCG00000027860	ERAP2	ENSG00000164308	ERAP2	ortholog_one2one
ENSSSCG00000022614	DQX1	ENSG00000144045	DQX1	ortholog_one2one
ENSSSCG00000006169	ZFHX4	ENSG00000091656	ZFHX4	ortholog_one2one
ENSSSCG00000006099	ESRP1	ENSG00000104413	ESRP1	ortholog_one2one
ENSSSCG00000022499	TLX2	ENSG00000115297	TLX2	ortholog_one2one
ENSSSCG00000005939	FAM135B	ENSG00000147724	FAM135B	ortholog_one2one
ENSSSCG00000005970	SQLE	ENSG00000104549	SQLE	ortholog_one2one
ENSSSCG00000033366		ENSG00000115289	PCGF1	ortholog_one2many
ENSSSCG00000037048				
ENSSSCG00000008278	LBX2	ENSG00000179528	LBX2	ortholog_one2one
ENSSSCG00000005971		ENSG00000180938	ZNF572	ortholog_one2one
